Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Log partition coefficient,LogPartCoef,PFOA,PFOA Log Koc (soils/sediments),2.45,log L/kg OC,3,2.45,0.21,,1.43,3.49,,
Log partition coefficient,LogPartCoef,PFOS,PFOS Log Koc  (soils/sediments),3.2,log L/kg OC,3,3.2,0.19,,2.13,3.91,,
Log partition coefficient,LogPartCoef,PFBA,PFBA Log Koc  (soils/sediments),1.85,log L/kg OC,3,1.85,0.11,,0.96,2.81,,
Log partition coefficient,LogPartCoef,PFPeA,PFPeA Log Koc (soils/sediments),1.78,log L/kg OC,3,1.78,0.08,,0.95,2.69,,
Log partition coefficient,LogPartCoef,PFHxA,PFHxA Log Koc (soils/sediments),1.83,log L/kg OC,3,1.83,0.13,,1.02,2.76,,
Log partition coefficient,LogPartCoef,PFHpA,PFHpA Log Koc (soils/sediments),2.23,log L/kg OC,3,2.23,0.16,,1.12,3.17,,
Log partition coefficient,LogPartCoef,PFNA,PFNA Log Koc (soils/sediments),2.85,log L/kg OC,3,2.85,0.23,,1.54,3.75,,
Log partition coefficient,LogPartCoef,PFDA,PFDA Log Koc (soils/sediments),3.43,log L/kg OC,3,3.43,0.19,,2.01,4.39,,
Log partition coefficient,LogPartCoef,PFBS,PFBS Log Koc (soils/sediments),1.8,log L/kg OC,3,1.8,0.12,,1.01,2.65,,
Log partition coefficient,LogPartCoef,PFHxS,PFHxS Log Koc (soils/sediments),2.28,log L/kg OC,3,2.28,0.2,,1.3,3.15,,
Log partition coefficient,LogPartCoef,5:3FTCA,5:3FTCA Log Koc (soils/sediments),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,6:2FTCA,6:2FTCA Log Koc (soils/sediments),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,7:3FTCA,7:3FTCA Log Koc (soils/sediments),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,6:2FTS,6:2FTS Log Koc (soils/sediments),2.26,log L/kg OC,3,2.26,0.18,,1.02,4.25,,
Log partition coefficient,LogPartCoef,MeFBSAA,MeFBSAA Log Koc (soils/sediments),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,nMeFOSAA,nMeFOSAA Log Koc (soils/sediments),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,PFBSA,PFBSA Log Koc (soils/sediments),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Log partition coefficient,LogPartCoef,PFPeS,PFPeS Log Koc (soils/sediments),0,log L/kg OC,0,,,,,,,Check for data! **New Compound**
Land application,LandApp,appl_dens,kg dry applied per area,2,kg TS/m2,5,2,,,0.8,18,[7],
Land application,LandApp,depth_mix,Depth of soil mixed,0.1,m,4,,,,0.05,0.2,[8],
Soil Properties,SoilProp,bulk_dens,Soil bulk density - wet,1300,kg/m3,4,,,,1100,1800,[9],
Soil Properties,SoilProp,ts_cont,Soil total solids content -wet,0.85,kg TS/kg,4,,,,0.7,1,[10],
Soil Properties,SoilProp,C_cont,Soil organic C content -dry,0.015,fraction TS,4,,,,0.005,0.05,[9],
Precipitation Data,Precip,ann_precip,Annual precipitation,1,m/yr,,,,,,,[11],
Precipitation Data,Precip,frac_runoff,Run-off fraction of precipitation,0.05,frac,,,,,,,[12],
Precipitation Data,Precip,frac_ET,Evapotranspiration fraction of precipitation,0.5,frac,4,,,,0.033,1,[13],
Volatilization,Volatilization,frac_vol_loss,Fraction of PFAS lost to volatilization,0,fraction,,,,,,,,
