predefinedCategories,Pattern,Unit
CEAETOR,CEAETOR,
CEAIN,CEAIN,
CEASANA,CEASANA,
CEASTOR,CEASTOR,
ENEEANA,ENEEANA,
ENEEANAT,ENEEANAT,
MAXEANA,MAXEANA,
MAXETOR,MAXETOR,
MAXSTOR,MAXSTOR,
SYLEANA,SYLEANA,
SYLETOR,SYLETOR,
SYLINT,SYLINT,
SYLSANA,SYLSANA,
SYLSTOR,SYLSTOR,
consigne four,CEASTORFour,
four,[fF]our,
gv stor,CEASTORGv,
platine stor,CEASTORPlatineSortie,
platine gaz entree stor,CEASTORPlatineGaz,
reformeur CEA,CEASTORReformeur,
chauffant CEA,CEASTORChauffant,
bruleur CEA ,CEASTORBruleur,
contacteur sylstor,SYLSTORContacteur,
